"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","95448","Healdsburg","CA","Santa Rosa, CA","Santa Rosa, CA",,9.899185195415,100,,,869300,0.0921128382268279,11.7352185089974,0.0378212354768204,,0.0211780277961615,0,58
"Zip","95451","Kelseyville","CA","Clearlake, CA","Clearlake, CA",,0.995718823366938,,,,264200,-0.113421550094518,2.84157259634099,0.00738077214231647,,0.0701754385964912,0.0714285714285714,74
"Zip","95452","Kenwood","CA","Santa Rosa, CA","Santa Rosa, CA",,7.53763292362933,100,,,1251100,-0.493120178159548,3.55073663300778,-0.0571113420190232,,0.0263157894736842,0,49
"Zip","95462","Monte Rio","CA","Santa Rosa, CA","Santa Rosa, CA",,9.61538461538461,100,,,465300,-0.299978572959074,8.008356545961,0.0474188695465292,,0,0,49
"Zip","95465","Occidental","CA","Santa Rosa, CA","Santa Rosa, CA",,8.23159784560144,,,,1016100,-0.196444357135841,6.65477065183164,-0.017396909752977,,0.0158730158730159,0,49
"Zip","95467","Hidden Valley Lake","CA","Clearlake, CA","Clearlake, CA",,8.61137964369562,,,,300100,0.0333333333333333,4.52803901079763,0.0102599133622125,,0.0621336459554513,0,85
"Zip","95470","Redwood Valley","CA","Ukiah, CA","Ukiah, CA",,7.05013119734843,,,,420300,0.119104335397808,0.190703218116806,0.0340994527718297,,0.0562347188264059,0,69
"Zip","95472","Sebastopol","CA","Santa Rosa, CA","Santa Rosa, CA",,9.38061041292639,100,2.375,0.6536,858700,-0.0465603538586893,1.89865907203038,0.0348130895539769,,0.0226415094339623,0.0138888888888889,55.5
"Zip","95476","Sonoma","CA","Santa Rosa, CA","Santa Rosa, CA",,9.30396354094738,96.77,,,733900,0,4.55905399629577,0.0360294318026979,,0.0263012181616833,0,54.5
"Zip","95482","Ukiah","CA","Ukiah, CA","Ukiah, CA",,6.94931639276343,87.5,,,348500,0.0861573808156232,4.46642685851319,0.049896700143472,,0.065018315018315,0.00704225352112676,57
"Zip","95490","Willits","CA","Ukiah, CA","Ukiah, CA",,1.58334484187267,0,,,266800,0.187758167480285,0.603318250377074,0.0395277361319339,,0.103448275862069,0.0404040404040404,69
"Zip","95492","Windsor","CA","Santa Rosa, CA","Santa Rosa, CA",,8.18671454219031,93.33,6.4583,,640700,-0.109136264421578,7.48196611306828,0.0388606211955673,,0.0324376664245945,0,46
"Zip","95497","Annapolis","CA","Santa Rosa, CA","Santa Rosa, CA",,8.96906504626433,100,,,839000,-0.0952607763753275,8.72100557211352,0.0309201430274135,,,,49
"Zip","95501","Eureka","CA","Eureka-Arcata-Fortuna, CA","Eureka-Arcata-Fortuna, CA",,4.54978594116835,90,7.451,0.9686,237100,0.381033022861981,-0.461796809403862,0.0546520455504007,,0.0698739977090493,0.0245901639344262,61
"Zip","95503","Eureka","CA","Eureka-Arcata-Fortuna, CA","Eureka-Arcata-Fortuna, CA",,5.17953321364452,85.71,2.6599,,270200,0.296956198960653,3.64403528960491,0.0358438193930422,,0.0801671732522796,0.014218009478673,57.5
"Zip","95519","McKinleyville","CA","Eureka-Arcata-Fortuna, CA","Eureka-Arcata-Fortuna, CA",,6.92031487363624,75,,1.7482,315200,0.127064803049555,5.13675783855904,0.0388197969543147,,0.0478260869565217,0.0113636363636364,63
