Zip,PctPriceCut,BS_DaysOnMarket,BuyerSellerIndex,MarketHealthIndex,ZHVI,YoY,ForecastYoYPctChange,NegativeEquity,Delinquency,MH_DaysOnMarket,DaysOnMarket_Average
30263,13.33333333,68.0,4.480519481,7.287667449,165900.0,8.0078125,0.111374322,0.081884058,0.021238938,61.0,64.5
30066,26.06837607,51.0,6.753246753,8.418726695,251000.0,8.893709328,0.054513944,0.055754679,0.008928571,51.5,51.25
30101,20.32520325,48.0,3.311688312,6.149012567,224400.0,7.884615385,0.052036542,0.062048879,0.024489796,47.0,47.5
30058,10.1369863,66.5,3.051948052,2.102610137,127800.0,10.07751938,0.095751174,0.209364548,0.044728435,67.0,66.75
30047,16.83417085,51.0,2.597402597,8.810937716,213300.0,8.937691522,0.074655415,0.055702357,0.011385199,49.5,50.25
30075,22.26027397,63.5,9.155844156,6.832619804,411700.0,3.390256153,0.040760262,0.045427376,0.006578947,65.0,64.25
30067,23.63013699,50.0,5.519480519,7.463748101,246900.0,11.87131853,0.051198866,0.083625321,0.008379888,55.0,52.5
30144,14.28571429,47.0,0.909090909,6.557795885,207600.0,7.564766839,0.059869942,0.070131322,0.03187251,48.0,47.5
30319,20.0,57.0,5.714285714,5.826543295,534500.0,3.464963221,0.025844715,0.058751315,0.008955224,60.0,58.5
30114,18.26568266,63.0,7.012987013,7.018367629,247600.0,7.325530993,0.072924071,0.048492967,0.016574586,57.0,60.0
30016,11.4973262,87.0,5.974025974,4.652672283,135400.0,7.631160572,0.095745938,0.134497172,0.048446069,75.0,81.0
30032,25.2173913,52.0,6.623376623,5.784422041,143900.0,34.73782772,0.091132731,0.183683206,0.016883117,50.5,51.25
30064,20.63492063,55.0,5.38961039,7.643971827,282300.0,7.460982109,0.055642933,0.064107164,0.013059701,55.0,55.0
30518,22.60869565,57.0,7.532467532,9.243888966,241400.0,8.202599731,0.069788732,0.050498511,0.017948718,57.5,57.25
30309,11.73469388,50.0,0.714285714,5.361137964,332000.0,6.752411576,0.043626506,0.114807873,0.006122449,47.0,48.5
30076,28.38709677,52.0,7.337662338,9.469686507,350600.0,6.274628675,0.049423845,0.051158592,0.008823529,57.0,54.5
30097,23.29896907,70.0,9.675324675,5.852092252,411900.0,2.564741036,0.052823501,0.056923077,0.018918919,68.0,69.0
30324,14.07624633,49.0,1.038961039,6.590940478,393200.0,7.608100712,0.034435402,0.087522714,0.003460208,50.0,49.5
30339,16.83848797,50.0,1.980519481,4.883303411,361700.0,5.451895044,0.038490462,0.093395858,0.008368201,50.0,50.0
30350,16.56050955,53.0,2.662337662,7.186162132,439200.0,5.424867979,0.049150729,0.082046624,0.011070111,52.0,52.5
30519,20.66549912,58.5,6.883116883,9.361966579,242700.0,6.681318681,0.076114545,0.051824159,0.019900498,59.5,59.0
30328,22.26720648,60.0,8.311688312,8.016848502,432800.0,6.286836935,0.043250924,0.08053561,0.012048193,62.5,61.25
30039,16.81415929,55.0,3.376623377,6.456290568,183600.0,7.809747504,0.084667756,0.085072445,0.04375,52.0,53.5
30120,17.77003484,59.0,5.194805195,9.080928049,160000.0,9.066121336,0.12885625,0.079962808,0.011627907,59.0,59.0
30228,16.83168317,87.0,9.350649351,7.992680569,153900.0,10.24355301,0.113040936,0.140279885,0.060096154,78.0,82.5
30680,15.78947368,56.0,2.727272727,7.44579478,168600.0,9.622886866,0.086559905,0.051898524,0.019169329,54.0,55.0
30126,19.02173913,57.0,5.25974026,5.663582378,206500.0,12.16730038,0.075535109,0.1245402,0.023909986,57.0,57.0
30134,11.61971831,62.0,1.980519481,5.863830963,130200.0,7.425742574,0.133156682,0.116832386,0.042553191,55.0,58.5
30115,23.14049587,69.0,9.545454545,9.212125397,271400.0,8.12749004,0.066543847,0.04113968,0.016891892,63.0,66.0
30316,19.6969697,51.0,3.831168831,8.56649634,277800.0,15.79824927,0.065698344,0.089459865,0.016771488,52.0,51.5
30019,21.4953271,61.0,8.246753247,7.013534042,254800.0,5.901911887,0.065223705,0.060649994,0.037848606,60.0,60.5
